Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-1.265166889774954173e+00	-2.137575138215373760e-01	-3.652040382335062230e-01	-3.461980431392643887e-01	-5.923306593761108046e-02	-5.826754520222906381e-02	1.155465253690385108e+00	2.772473361642765477e-01	4.888758290901673575e-01
-9.859231244180336473e-01	3.438876485110673592e-02	6.754975917602917823e-02	-6.401667931727068606e-01	-3.776304201606321964e-01	-4.107836454171487350e-01	9.925887240695839830e-01	1.293583325952983032e-01	2.325154445734757824e-01
-1.344232046623730081e+00	-2.851557962477394570e-01	-4.846483047103325448e-01	-3.116300874656193209e-01	-2.139670883592790715e-02	-1.313091315131702935e-02	9.633905676233105453e-01	1.030314817854744575e-01	1.864701781974935357e-01
-1.003372524828001877e+00	1.794327723234557387e-02	4.342355491216135649e-02	-4.008228463041225709e-01	-1.177799378485615278e-01	-1.201181592770005357e-01	9.632374801859159286e-01	1.031109128127325192e-01	1.864054040203306783e-01
-9.289381233306144292e-01	8.383463741558684623e-02	1.599049911876348762e-01	-2.760673268184273277e-01	1.769414836489209900e-02	3.115492587185787407e-02	8.460450848183300732e-01	-3.255549008873068889e-03	1.945285492354785570e-03
-7.145017361171819292e-01	2.744359033321168151e-01	4.927207988317612308e-01	-2.945442817043625872e-01	-1.999886614767429870e-03	9.853540559006635294e-03	6.711078757805237771e-01	-1.621369264062693105e-01	-2.733049998075507969e-01
-1.291260245832429154e+00	-2.394731710020500115e-01	-3.967838499014292863e-01	-2.620313266128126428e-01	3.362449000715500569e-02	5.021031533489833665e-02	6.035551398999992045e-01	-2.233650400993990592e-01	-3.796728927712175183e-01
-8.150884437709815522e-01	1.842806682233850690e-01	3.405875364818047868e-01	-9.271546090955651298e-03	3.079313830684138331e-01	3.556151074958980307e-01	1.072106495727897624e+00	2.029708688959483975e-01	3.584835727289704121e-01
-1.019689297615304246e+00	1.855214242677483139e-03	2.624128058336423763e-02	-7.353418972019068467e-02	2.387417839021964694e-01	2.787521953812281961e-01	1.141811756486271534e+00	2.665505936805431242e-01	4.681197230123141928e-01
-9.354773832800998834e-01	7.665593245706131542e-02	1.581836124023496826e-01	-1.067146080283663534e-01	2.031337528000476955e-01	2.368557355487559135e-01	6.795976948374817805e-01	-1.536525548703364386e-01	-2.600214939981710383e-01
-1.018399753211995051e+00	2.666200334022560126e-03	3.194709188234999553e-02	-4.534778526983000435e-01	-1.722749574447283161e-01	-1.804657038077567832e-01	6.456462942769978230e-01	-1.843710069302089694e-01	-3.134649859416107631e-01
-1.168082972055425994e+00	-1.307323923294160806e-01	-1.973609037193992388e-01	-6.788309206995104539e-01	-4.161060213815422903e-01	-4.518141258045604292e-01	7.035434428050719724e-01	-1.315666224820757901e-01	-2.222346801097057623e-01
-1.209378890491663139e+00	-1.675725921039887545e-01	-2.591529014781035478e-01	-7.580895326359841091e-01	-5.016601198016544805e-01	-5.474800392655738701e-01	1.060401327624163725e+00	1.931365957232159536e-01	3.401303723288674474e-01
-9.971125222872146976e-01	2.142195541990702529e-02	7.088639676456416627e-02	-3.753528946521181298e-01	-8.659797080283518356e-02	-8.541172794418880332e-02	9.685392088892934570e-01	1.097281063856515443e-01	1.953907350652928920e-01
-1.198852833234925530e+00	-1.582099784234934081e-01	-2.386257459706038198e-01	-1.423228000312989905e-01	1.662435686211785335e-01	1.955110595901851656e-01	7.547028571449736489e-01	-8.461628292363063131e-02	-1.415064295647639192e-01
-9.359962529354650673e-01	7.591836873367127647e-02	1.697489340588033691e-01	-2.390721430473989051e-01	6.171770800048480277e-02	7.854388062926422054e-02	8.497240410582979075e-01	1.918646060844459225e-03	8.136523710571804194e-03
-9.684017723518765219e-01	4.716178197006609674e-02	1.220119765874616846e-01	-1.563602618914980980e-01	1.516152438782854828e-01	1.778510782979260130e-01	7.212361490417916743e-01	-1.148258636020361850e-01	-1.943094549348169942e-01
-9.562378843335118672e-01	5.813635866493033905e-02	1.432082385375180178e-01	-4.781470237572710280e-01	-1.968283250560177999e-01	-2.106611836460077769e-01	1.074325215837669933e+00	2.064005981312845295e-01	3.618843036226460086e-01
-1.136317075135354404e+00	-1.020359829092621212e-01	-1.325198134244308379e-01	-3.986553575844835051e-01	-1.104936079476025873e-01	-1.153841042425245156e-01	7.347903683216532311e-01	-1.023163219504672483e-01	-1.731991777846789149e-01
-1.009803871729175961e+00	1.085243254130087431e-02	6.550227569179431497e-02	-3.737033017550508984e-01	-8.333825616283541127e-02	-8.639291943196747425e-02	9.075097497073931763e-01	5.484363766674785895e-02	9.888393915346663232e-02
-1.015589363022613822e+00	5.973463811118948086e-03	5.917777895292763990e-02	-4.989569452957036688e-01	-2.189854190195026085e-01	-2.381929234876154489e-01	5.213440963238463732e-01	-2.962980753191427064e-01	-5.094661739317756233e-01
