theta1	omega1	alpha1	theta2	omega2	alpha2
3.819480129791639200e-01	-2.444141208728042081e+00	-3.655644477500545442e+00	8.649007881435011313e-01	6.413664296130634490e-01	-2.470676654879083944e+00
5.208944546573748280e-01	-2.896190302674126915e+00	-4.635353361069609157e+00	6.177772308919310396e-01	1.413200801073520863e-01	-4.339410582568731911e+00
4.155083456514223061e-01	-2.501002353053316085e+00	-3.784499212894952169e+00	8.701571633247999760e-01	4.761915399131332882e-01	-2.116438441518933455e+00
4.446682789589331830e-01	-1.975304010554895573e+00	-3.251624293451124359e+00	8.414830404549736853e-01	6.464975358729663224e-01	-3.519363157245686491e+00
3.519902128108693962e-01	-2.749859315579806562e+00	-1.850756432250744377e+00	8.557013069416292694e-01	6.221837599830108978e-01	-1.828468818480363245e+00
3.311859014122852107e-01	-3.484198428376868328e+00	-3.310262881112588484e+00	6.255767461777633764e-01	1.120309561142422528e+00	-3.541461248227996350e+00
4.165605633672033736e-01	-2.999142669532901984e+00	-3.693610750247207086e+00	8.483788318661232841e-01	1.246899501347206840e+00	-2.570055850886590942e+00
2.979773698833154127e-01	-2.768525312388069981e+00	-1.522062793418777371e+00	5.112897205999402672e-01	7.071229932900268134e-01	-2.089818713590337218e+00
3.271380403021093008e-01	-2.441578193966209120e+00	-1.929242550042965298e+00	5.197902949708718134e-01	6.744221385181068396e-01	-3.964603326255218718e+00
2.007932724260999002e-01	-2.770842997230899662e+00	-3.044884042735331420e+00	7.534815184565362145e-01	7.827842781003824246e-01	-3.971816003313052512e+00
4.086496572323646825e-01	-2.841139083089692985e+00	3.131964030414193800e-01	6.580770484126087227e-01	7.957275406429105136e-01	-3.441618800691737867e+00
4.036074745236387096e-01	-2.467908469931997750e+00	-2.434519164131589086e+00	5.236510295334027010e-01	6.537060937404304273e-01	-4.404485418175342559e+00
2.436358268879620370e-01	-2.643906957250492074e+00	-1.518123354214900855e+00	7.074031577660048198e-01	5.444168798631453532e-01	-4.329999796497870257e+00
5.105593787550050111e-01	-2.935147872340788666e+00	-1.492946807396360542e+00	6.644081461500441765e-01	1.177789461081732547e+00	-2.935836718794219813e+00
4.273138623896858279e-01	-2.757588691998091868e+00	-1.043586186356668888e+00	5.598102156254962658e-01	6.437229712293498496e-01	-4.584718071281718821e+00
1.580613516628485149e-01	-2.915170989127045420e+00	-5.884410858824689061e-01	1.050239098090656409e+00	7.386020290684619516e-02	-3.958823511212052448e+00
2.697078703181488013e-01	-2.762252746238922807e+00	6.018722395459623620e-01	8.920115403134246668e-01	3.985954554639946634e-01	-3.787656290804487735e+00
2.865950892114271231e-01	-2.687101465265774092e+00	-4.824121824193450259e-01	6.972317419727793730e-01	9.322572180186639024e-02	-4.707618940121323980e+00
3.010291341839546608e-01	-2.979274980295214093e+00	-1.431353230740308291e+00	7.953780873529084916e-01	4.676709233513334785e-02	-4.924852664636087063e+00
2.136546563624562856e-01	-3.218440242438162180e+00	8.526291403472512354e-01	6.670711576678491905e-01	8.836579353937481507e-01	-4.483808248950440500e+00
1.264874373443856670e-01	-3.049277642846254910e+00	-1.509980388305227350e-01	8.587579320515156267e-01	4.118101837561090606e-01	-5.111300225691463694e+00
3.880949178739449557e-01	-2.673072481863499217e+00	-9.822132415986652987e-01	7.956685794229382269e-01	-1.109407347352492634e-01	-5.673181052678476277e+00
1.553726652774386763e-01	-3.191508918101151782e+00	-1.366274727078806706e-01	8.878457115889161200e-01	-7.467826919916229489e-01	-4.016830119021159717e+00
1.358151646198219598e-01	-2.493697149477799080e+00	1.057685407931813870e+00	6.944450338277023960e-01	-3.168241599210935289e-01	-4.006872718999034966e+00
1.242748243941926428e-01	-2.808030703584920573e+00	3.630337327924582080e-02	6.924514403381826222e-01	2.637067757847443017e-02	-6.624944944345284803e+00
1.222559896709746463e-01	-3.135347190963034159e+00	-4.362878762699098356e-01	8.316680863415967240e-01	2.047339621666294240e-01	-5.072723630604619949e+00
-2.129328857813550524e-02	-2.903554989527574737e+00	7.927206477481499869e-01	9.805988103632250485e-01	2.555843918342287635e-01	-5.805327859053114103e+00
