Pos_TX	Vel_TX	Acc_TX	Pos_TY	Vel_TY	Acc_TY	Pos_TZ	Vel_TZ	Acc_TZ
-1.223490422818873880e+00	-7.607757472929377318e-02	1.471992645717486344e-02	-2.814821666848474346e-01	-2.319743588575325435e-02	-4.096816330714791315e-02	8.359880878240801838e-01	-8.029599202616661408e-03	-3.986679374648924648e-03
-1.226206070305027485e+00	-7.558016221661814638e-02	1.607194218364152438e-02	-2.825430537395312025e-01	-2.621594875681583503e-02	-4.528719699733154552e-02	8.356617038783538121e-01	-8.267772969922882950e-03	-3.865140579743952479e-03
-1.228903425530595950e+00	-7.503164220656224903e-02	1.738814607264528578e-02	-2.837644697564283280e-01	-2.951227076561193860e-02	-4.953905055608787827e-02	8.353285202670893694e-01	-8.501303295086495154e-03	-3.796149886478450072e-03
-1.231580659269520650e+00	-7.443261379512783327e-02	1.869015110895809809e-02	-2.851464147355389223e-01	-3.297058348378006237e-02	-5.069796089955765778e-02	8.349817373247484520e-01	-8.731635723201555677e-03	-3.730620357681872432e-03
-1.234236049897276422e+00	-7.378578366732792271e-02	1.992656333310952044e-02	-2.866958681969914435e-01	-3.625783471104397637e-02	-4.582591411591490499e-02	8.346349543824171935e-01	-8.945597647813737993e-03	-3.400697728357518230e-03
-1.236867875789336990e+00	-7.308536056181227925e-02	2.139251769276584794e-02	-2.883918915804993821e-01	-3.896126811962328379e-02	-3.561277535637509539e-02	8.342677724434715003e-01	-9.148004176808990570e-03	-3.144998899596951163e-03
-1.239474200118111602e+00	-7.232280352019691827e-02	2.307177792472022218e-02	-2.901995872855190894e-01	-4.103914523796618058e-02	-2.606196685568803670e-02	8.339005905045256961e-01	-9.330321165244744031e-03	-2.718244554867029362e-03
-1.242052440446811401e+00	-7.149130742635935454e-02	2.488881225924753984e-02	-2.921049962718925141e-01	-4.267023485983394149e-02	-2.127005530216804358e-02	8.335266089000417100e-01	-9.484874457105409856e-03	-2.203087814496013444e-03
-1.244600444744779155e+00	-7.059146830401419326e-02	2.663371077415398538e-02	-2.940802004592045771e-01	-4.399661918907488145e-02	-1.596470371041913694e-02	8.331390279644911301e-01	-9.609497976033786609e-03	-1.622586004424334243e-03
-1.247115845778292487e+00	-6.962411567070228569e-02	2.840156007235829574e-02	-2.961112408073469093e-01	-4.522695338465939491e-02	-1.690149098675983522e-02	8.327514470289404391e-01	-9.703772684954254171e-03	-1.098379840609629452e-03
-1.249596061110562761e+00	-6.859070886283819002e-02	3.007019290302333919e-02	-2.982050968362992549e-01	-4.649375383887045798e-02	-1.627287124899760157e-02	8.323638660933802003e-01	-9.770890172116289060e-03	-5.923629370270151479e-04
-1.252039046312465764e+00	-6.749688245512554252e-02	3.161853076260099510e-02	-3.003617685461608677e-01	-4.758484009215481481e-02	-1.301360754013995528e-02	8.319694854922913274e-01	-9.811300520527812055e-03	-1.642224781906118916e-04
-1.254442649353344486e+00	-6.633952114835522940e-02	3.330533037074404068e-02	-3.025672968966745535e-01	-4.864810451299833582e-02	-1.373820294878107078e-02	8.315751048912025656e-01	-9.831448168447241842e-03	2.782891665256395555e-04
