theta1	omega1	alpha1	theta2	omega2	alpha2
-3.991641044381285752e+00	-1.839672257677608780e+00	-4.759861240164582341e-01	-1.433952639478738611e+01	-3.052949861793453401e+00	3.637468212712064997e+00
-4.000837437943876473e+00	-1.842268397141004765e+00	-5.630745198790236827e-01	-1.435473274035939006e+01	-3.035204670026003360e+00	3.466936486449185395e+00
-4.010047879571917662e+00	-1.845295016542695565e+00	-6.483341010596177512e-01	-1.436985256902831232e+01	-3.018312253332393169e+00	3.296040908200666308e+00
-4.019274496870445468e+00	-1.848742993414097979e+00	-7.317701415215651650e-01	-1.438489014551838352e+01	-3.002274570554911648e+00	3.124725065180200545e+00
-4.028519372100721085e+00	-1.852603230513204524e+00	-8.133874603712456519e-01	-1.439984974527971495e+01	-2.987093860690678060e+00	2.952933218138014126e+00
-4.037784542026737533e+00	-1.856866654961505381e+00	-8.931908853675167848e-01	-1.441473565548044178e+01	-2.972772641660426540e+00	2.780609597667535127e+00
-4.047071998068319409e+00	-1.861524212263184097e+00	-9.711828736250254224e-01	-1.442955217644424160e+01	-2.959313701309973066e+00	2.607702017664905725e+00
-4.056383686587510695e+00	-1.866566857592155682e+00	-1.047364874567051629e+00	-1.444430362328010808e+01	-2.946720084312508980e+00	2.434159785803331033e+00
-4.065721508709009946e+00	-1.871985551829925098e+00	-1.121737854325715489e+00	-1.445899432683520125e+01	-2.934995086284818644e+00	2.259932931823868785e+00
-4.075087320255845746e+00	-1.877771255205330281e+00	-1.194300209170137350e+00	-1.447362863481322570e+01	-2.924142244334650975e+00	2.084975300418591360e+00
-4.084482932077050599e+00	-1.883914915586092587e+00	-1.265048799331452756e+00	-1.448821091345725165e+01	-2.914165319696672363e+00	1.909243009192778118e+00
-4.093910109931932162e+00	-1.890407460778679383e+00	-1.333978806697132313e+00	-1.450274554859061560e+01	-2.905068286352647799e+00	1.732694660996685343e+00
-4.103370573929423060e+00	-1.897239794021432502e+00	-1.401085071237957891e+00	-1.451723694601672499e+01	-2.896855324190788394e+00	1.555289420981580406e+00
-4.112865998492596376e+00	-1.904402783466784266e+00	-1.466358620792902911e+00	-1.453168953267259056e+01	-2.889530803503110423e+00	1.376992016729218449e+00
