# theta1	omega1	alpha1	theta2	omega2	alpha2
3.257291749630230049e-01	-1.630277073036722868e+00	-2.794700513783995532e+00	7.236271678205982161e-01	-4.009338141661743293e+00	4.434335945436230220e-01
3.082515966194085966e-01	-1.409015806221532330e+00	-2.804186285551639735e+00	7.263160706750484419e-01	-4.209901316882508127e+00	4.177746716084789202e-01
2.907190947700245554e-01	-1.190283962507010074e+00	-2.812298475326493907e+00	7.288409084504352542e-01	-4.405456827569196321e+00	3.908789706004286435e-01
2.731401934054406566e-01	-9.743344407745553326e-01	-2.819053679308963112e+00	7.311940613680467660e-01	-4.595487797112326689e+00	3.627793861684378007e-01
2.555233087203768183e-01	-7.613741391774055955e-01	-2.824469943955000506e+00	7.333681240336233920e-01	-4.779530704459006074e+00	3.335118903987613348e-01
2.378767401078814570e-01	-5.515740480966542236e-01	-2.828566478540844198e+00	7.353559249841196133e-01	-4.957165521053823909e+00	3.031151955728219605e-01
2.202086642006093331e-01	-3.450630172137607588e-01	-2.831363444617823522e+00	7.371505418023518441e-01	-5.128024203776860190e+00	2.716304930744838919e-01
2.025271294075662865e-01	-1.419337590746181377e-01	-2.832881677459742509e+00	7.387453164304463860e-01	-5.291785066059730980e+00	2.391011075810305642e-01
1.848400524448845228e-01	5.775684067202746519e-02	-2.833142494248176657e+00	7.401338670601108616e-01	-5.448173915941794121e+00	2.055722418958947639e-01
1.671552162319383250e-01	2.539860182303073088e-01	-2.832167444477522444e+00	7.413100991615994007e-01	-5.596963223096039997e+00	1.710906464306894414e-01
1.494802686364757049e-01	4.467598448300122982e-01	-2.829978141178344231e+00	7.422682143076014816e-01	-5.737967334072301639e+00	1.357043758734525762e-01
1.318227232569888219e-01	6.361141292945831083e-01	-2.826596054019332449e+00	7.430027172174115124e-01	-5.871044746206464993e+00	9.946249132284404326e-02
1.141899601113663537e-01	8.221068050379471970e-01	-2.822042366924688572e+00	7.435084216748711894e-01	-5.996090203640942917e+00	6.241483369756087307e-02
9.658922867064750895e-02	1.004819401752456542e+00	-2.816337820255456315e+00	7.437804541027882577e-01	-6.113037868549891840e+00	2.461176791391244539e-02
7.902765020846946875e-02	1.184349562251554744e+00	-2.809502597653692035e+00	7.438142567556840223e-01	-6.221853008876971458e+00	-1.389602251450310771e-02
6.151222239952233717e-02	1.360811468059637264e+00	-2.801556217220642964e+00	7.436055884341039590e-01	-6.322534240596812793e+00	-5.305774704017396370e-02
4.404982301736382749e-02	1.534330204694015265e+00	-2.792517449639053684e+00	7.431505251755913255e-01	-6.415106768704738727e+00	-9.282268854994842056e-02
2.664721545107544276e-02	1.705040257331347675e+00	-2.782404253658274484e+00	7.424454587092426117e-01	-6.499622647060341762e+00	-1.331403736721102071e-01
9.311053405908108899e-03	1.873082555664268511e+00	-2.771233726234807904e+00	7.414870949177519988e-01	-6.576156573496632518e+00	-1.739607258803892165e-01
-7.952113211834067885e-03	2.038600877839598979e+00	-2.759022075122266493e+00	7.402724505580002834e-01	-6.644803908901707246e+00	-2.152342004590448998e-01
