theta1	omega1	alpha1	theta2	omega2	alpha2
2.037628067343320026e+00	-2.707862112204375116e+00	6.585021196513935138e+00	-1.744690116357876075e+00	-6.298392089687760098e+00	1.145356508947634211e+01
2.024176533075758844e+00	-2.675283512876032166e+00	6.452205801395166418e+00	-1.776026556764563225e+00	-6.242161679223491078e+00	1.104890122475762837e+01
2.010886158975377480e+00	-2.643369004876403139e+00	6.319428422702685566e+00	-1.807087019865759148e+00	-6.187950127793516941e+00	1.064588117901575970e+01
1.997753630281147386e+00	-2.612116248355821568e+00	6.187527291807555230e+00	-1.837881569771275592e+00	-6.135746330729645592e+00	1.024562179252825445e+01
1.984775653763753533e+00	-2.581518978888334370e+00	6.057236682265056515e+00	-1.868420202340824954e+00	-6.085534072587733156e+00	9.849055329767452349e+00
1.971948976408608667e+00	-2.551567567188587127e+00	5.929171483189520586e+00	-1.898712821103446302e+00	-6.037293018532513322e+00	9.456903484895519796e+00
1.959270400363513298e+00	-2.522249502324990900e+00	5.803872582600206442e+00	-1.928769220222103620e+00	-5.990999540390790301e+00	9.069767260144999454e+00
1.946736796705881956e+00	-2.493549813112057478e+00	5.681784545337905001e+00	-1.958599068838085211e+00	-5.946627438187815251e+00	8.688076349123548425e+00
1.934345116871593273e+00	-2.465451446347276310e+00	5.563299275715507974e+00	-1.988211899663037796e+00	-5.904148573036787084e+00	8.312183761742744537e+00
1.922092401794795569e+00	-2.437935578252539148e+00	5.448732952302862032e+00	-2.017617101554467052e+00	-5.863533369776864568e+00	7.942309491406376765e+00
1.909975790646074811e+00	-2.410981908560707598e+00	5.338363934206881822e+00	-2.046823912290197445e+00	-5.824751300376668439e+00	7.578622576800171373e+00
1.897992526892941623e+00	-2.384568888197027725e+00	5.232412193932304945e+00	-2.075841416153335839e+00	-5.787771232035892943e+00	7.221192296593471838e+00
1.886139964705275673e+00	-2.358673946406852018e+00	5.131070437478456370e+00	-2.104678540380940710e+00	-5.752561791915483447e+00	6.870053280808861018e+00
1.874415572898695981e+00	-2.333273654668053698e+00	5.034487250430629501e+00	-2.133344056011860168e+00	-5.719091605434338810e+00	6.525166944081320253e+00
1.862816939511009462e+00	-2.308343900545861249e+00	4.942791458537158178e+00	-2.161846577199399988e+00	-5.687329569487576286e+00	6.186470697226013726e+00
1.851341774210661928e+00	-2.283860003927738358e+00	4.856079207135053366e+00	-2.190194564284734025e+00	-5.657245013634877751e+00	5.853849045041442878e+00
1.839987911473569770e+00	-2.259796848523169199e+00	4.774432363769619769e+00	-2.218396325272542491e+00	-5.628807904010898255e+00	5.527169520039478812e+00
1.828753311914089519e+00	-2.236128962552367927e+00	4.697909104226027921e+00	-2.246460020408161729e+00	-5.601988951274093687e+00	5.206261834343422379e+00
1.817636064416389585e+00	-2.212830616697614161e+00	4.626557426296812991e+00	-2.274393665261680741e+00	-5.576759762890193706e+00	4.890943344747938681e+00
1.806634386714308649e+00	-2.189875878308515489e+00	4.560408623713556153e+00	-2.302205136328976831e+00	-5.553092915342316971e+00	4.581004491384646826e+00
1.795746626750718944e+00	-2.167238682675338701e+00	4.499486934411834227e+00	-2.329902175330163860e+00	-5.530962068557556677e+00	4.276226284142467193e+00
1.784971262818044968e+00	-2.144892869046600037e+00	4.443804697006726201e+00	-2.357492395419033659e+00	-5.510342018238289619e+00	3.976369272717420245e+00
1.774306904300261056e+00	-2.122812229085137670e+00	4.393371227563420689e+00	-2.384983286505170330e+00	-5.491208780388962651e+00	3.681189410808201501e+00
1.763752291149171869e+00	-2.100970518742130366e+00	4.348188656305183031e+00	-2.412382222409316768e+00	-5.473539611712430641e+00	3.390428407542913192e+00
1.753306295023173478e+00	-2.079341508985905751e+00	4.308252858025525711e+00	-2.439696465887337240e+00	-5.457313113529810522e+00	3.103814038943255582e+00
1.742967918364832114e+00	-2.057898980779223841e+00	4.273561309335264013e+00	-2.466933176396787886e+00	-5.442509234298690934e+00	2.821073934329433541e+00
1.732736294666129551e+00	-2.036616746223181007e+00	4.244105275904303198e+00	-2.494099416643172695e+00	-5.429109332241317531e+00	2.541918406466265878e+00
1.722610688240320265e+00	-2.015468653652505271e+00	4.219879299622220969e+00	-2.521202159730271397e+00	-5.417096213492255785e+00	2.266058044372130098e+00
1.712590493823890725e+00	-1.994428583806716837e+00	4.200874965804928252e+00	-2.548248296689273218e+00	-5.406454161042778317e+00	1.993189003492716438e+00
1.702675236874774622e+00	-1.973470458067880129e+00	4.187086229529995762e+00	-2.575244643591226179e+00	-5.397168997606867080e+00	1.723002488860856829e+00
1.692864572861118466e+00	-1.952568220218536377e+00	4.178508833415094159e+00	-2.602197949651181119e+00	-5.389228101637367097e+00	1.455181300619642570e+00
