theta1	omega1	alpha1	theta2	omega2	alpha2
-4.657322423893799912e-01	-1.949284514630195808e+00	6.344329382407977391e+00	5.783698744851092366e-01	-1.471640053876820398e+00	-5.918314836752983865e+00
-4.753946371015681516e-01	-1.917330626676921446e+00	6.442791969942163632e+00	5.709413346798664080e-01	-1.501060206951027709e+00	-5.854909706904777522e+00
-4.848961089068108410e-01	-1.884887252181259854e+00	6.540205544891705358e+00	5.633665550737426697e-01	-1.530161735161418068e+00	-5.790828958861538922e+00
-4.942342245983569748e-01	-1.851959724953539332e+00	6.636533605301110583e+00	5.556471360767332168e-01	-1.558941558701299801e+00	-5.726191151601369711e+00
-5.034065783189834997e-01	-1.818553561819414410e+00	6.731739464535507977e+00	5.477846918952907762e-01	-1.587397187238702712e+00	-5.661113621660547324e+00
-5.124107922881472321e-01	-1.784674463773344932e+00	6.825785886083281184e+00	5.397808477032409735e-01	-1.615526713350950105e+00	-5.595712130178071675e+00
-5.212445172971628127e-01	-1.750328318184781962e+00	6.918636078280087531e+00	5.316372369878500370e-01	-1.643328804417752753e+00	-5.530101227968657440e+00
-5.299054342571530851e-01	-1.715521193811356593e+00	7.010253885950874064e+00	5.233554983182169273e-01	-1.670802697648380519e+00	-5.464394147218058606e+00
-5.383912550172114120e-01	-1.680259339491045223e+00	7.100603376849221604e+00	5.149372725645851023e-01	-1.697948191848231314e+00	-5.398702371240005959e+00
-5.466997228946829379e-01	-1.644549185629042842e+00	7.189648041383065902e+00	5.063842003852834228e-01	-1.724765637272502206e+00	-5.333135150128782698e+00
-5.548286137141795749e-01	-1.608397339858118613e+00	7.277353436721455182e+00	4.976979193726437933e-01	-1.751255926918308115e+00	-5.267800382447489937e+00
-5.627757369435889556e-01	-1.571810580991477080e+00	7.363685521614570462e+00	4.888800611591447298e-01	-1.777420487567269003e+00	-5.202803753295484057e+00
-5.705389363990013285e-01	-1.534795857312006184e+00	7.448609999822338068e+00	4.799322489063699293e-01	-1.803261268282053464e+00	-5.138248386131635925e+00
-5.781160907202457233e-01	-1.497360288576601972e+00	7.532093763547209164e+00	4.708560950977380699e-01	-1.828780726931605649e+00	-5.074235129762655561e+00
-5.855051147320510241e-01	-1.459511152906905807e+00	7.614105626633772772e+00	4.616531984465319649e-01	-1.853981820681571691e+00	-5.010862617678071729e+00
-5.927039601828113513e-01	-1.421255883105093654e+00	7.694615156889085483e+00	4.523251414813661553e-01	-1.878867992587055724e+00	-4.948226718290243298e+00
-5.997106164551598839e-01	-1.382602063501496170e+00	7.773591115708427424e+00	4.428734882341181511e-01	-1.903443157181251122e+00	-4.886419894307891809e+00
-6.065231107480150152e-01	-1.343557438382142255e+00	7.851003050720009924e+00	4.332997827005696800e-01	-1.927711681684358913e+00	-4.825531513215992163e+00
-6.131395094903844267e-01	-1.304129891390341855e+00	7.926823831248384522e+00	4.236055456249154250e-01	-1.951678375166927770e+00	-4.765648444306634701e+00
-6.195579189528712671e-01	-1.264327442613612851e+00	8.001026505436584557e+00	4.137922724268692787e-01	-1.975348471470564249e+00	-4.706853929882186094e+00
-6.257764858833582133e-01	-1.224158245809198631e+00	8.073583499596111324e+00	4.038614312075970436e-01	-1.998727611203593435e+00	-4.649227154286336372e+00
-6.317933979908084696e-01	-1.183630598398984546e+00	8.144467166647700651e+00	3.938144615670771675e-01	-2.021821818880266797e+00	-4.592843240612069167e+00
-6.376068847923063165e-01	-1.142752922153499329e+00	8.213653609540642719e+00	3.836527717978315266e-01	-2.044637488318904239e+00	-4.537774267423060337e+00
-6.432152182254320394e-01	-1.101533760121185646e+00	8.281118688091623881e+00	3.733777370944060814e-01	-2.067181362110193987e+00	-4.484087850950572829e+00
-6.486167132442249850e-01	-1.059981775331700460e+00	8.346837407165594414e+00	3.629906979391822608e-01	-2.089460509555319589e+00	-4.431846665838747867e+00
-6.538097284811026366e-01	-1.018105765265787666e+00	8.410783328545676341e+00	3.524929594658042786e-01	-2.111482297706327227e+00	-4.381108049408112493e+00
-6.587926667711252460e-01	-9.759146441650513593e-01	8.472934320584386114e+00	3.418857890529228838e-01	-2.133254373595619757e+00	-4.331925983424753213e+00
-6.635639757131330807e-01	-9.334174409419813134e-01	8.533267114986017532e+00	3.311704148870239228e-01	-2.154784639738143159e+00	-4.284348877066804562e+00
-6.681221482512141874e-01	-8.906233011980384529e-01	8.591757170380219577e+00	3.203480248372198025e-01	-2.176081227104512017e+00	-4.238419194864263773e+00
-6.724657237067518389e-01	-8.475415067440557060e-01	8.648376734247392505e+00	3.094197664383579460e-01	-2.197152458849914058e+00	-4.194172382423403178e+00
-6.765932879983438397e-01	-8.041814626061831728e-01	8.703102576903916088e+00	2.983867450342095884e-01	-2.218006828349670556e+00	-4.151640301670568078e+00
-6.805034741445689095e-01	-7.605526967564847363e-01	8.755909135174590574e+00	2.872500227438631315e-01	-2.238652970449080737e+00	-4.110847863473509278e+00
-6.841949629266695920e-01	-7.166648670875772620e-01	8.806769128898281451e+00	2.760106179305462093e-01	-2.259099628414093175e+00	-4.071813029534496309e+00
-6.876664841819012386e-01	-6.725277840630056181e-01	8.855650057681373255e+00	2.646695057201560175e-01	-2.279355610765619211e+00	-4.034544652299928202e+00
-6.909168172042651213e-01	-6.281514114061261811e-01	8.902522257967007135e+00	2.532276172369517520e-01	-2.299429759875952772e+00	-3.999046921790068154e+00
-6.939447912527244577e-01	-5.835458704121352369e-01	8.947352446680611138e+00	2.416858391352454116e-01	-2.319330917705231254e+00	-3.965315515145221070e+00
-6.967492866341010727e-01	-5.387214563377134002e-01	8.990103992679735256e+00	2.300450140007775091e-01	-2.339067883024990468e+00	-3.933337168454045241e+00
-6.993292357791125458e-01	-4.936886536386094759e-01	9.030738230083244389e+00	2.183059407808927432e-01	-2.358649368076565445e+00	-3.903090919385249435e+00
