theta1	omega1	alpha1	theta2	omega2	alpha2
-6.060365498190831701e-01	-1.346396628952463592e+00	7.845452697036421341e+00	4.339968386343643347e-01	-1.925965201573451191e+00	-4.829906172782671092e+00
-6.126642701719939854e-01	-1.307014331143429908e+00	7.921355792866052070e+00	4.243156571622531681e-01	-1.949942854410789073e+00	-4.769974218562879287e+00
-6.190943156789890933e-01	-1.267256880443418554e+00	7.995644157013202857e+00	4.145154386612753261e-01	-1.973623781861774784e+00	-4.711123898492928674e+00
-6.253248326153799663e-01	-1.227132409613702180e+00	8.068290494148868675e+00	4.045976512926681146e-01	-1.997013587989684424e+00	-4.653434653129693288e+00
-6.313540081018207406e-01	-1.186649194659536555e+00	8.139266777066950453e+00	3.945637348846247616e-01	-2.020118261598600640e+00	-4.596981676683185469e+00
-6.371800709295952769e-01	-1.145815637189866676e+00	8.208549187893822818e+00	3.844150982214325496e-01	-2.042944161219773846e+00	-4.541837282273149867e+00
-6.428012921941385072e-01	-1.104640259758151055e+00	8.276113549420301752e+00	3.741531171590440907e-01	-2.065497995187123959e+00	-4.488069305269846154e+00
-6.482159858829799060e-01	-1.063131704442282999e+00	8.341935207477263248e+00	3.637791330020135883e-01	-2.087786799766543133e+00	-4.435740802603731936e+00
-6.534225095360399749e-01	-1.021298746833507298e+00	8.405987339119860735e+00	3.532944518370725873e-01	-2.109817910494901749e+00	-4.384909243394304212e+00
-6.584192647790924058e-01	-9.791502808108175637e-01	8.468247936109833063e+00	3.427003422657333709e-01	-2.131598943605554020e+00	-4.335628953960394938e+00
-6.632046978771365398e-01	-9.366953142592996384e-01	8.528693734655121261e+00	3.319980338387646390e-01	-2.153137772475628431e+00	-4.287948665957628691e+00
-6.677773003055557099e-01	-8.939429711446190696e-01	8.587300610237718956e+00	3.211887159305417683e-01	-2.174442500751229357e+00	-4.241911381286854521e+00
-6.721356097577113609e-01	-8.509025099955737081e-01	8.644040468921502907e+00	3.102735376580089688e-01	-2.195521426686484645e+00	-4.197552752408228116e+00
-6.762782104453347598e-01	-8.075833142044570589e-01	8.698890272690221082e+00	2.992536062145508824e-01	-2.216383019771670515e+00	-4.154905120050898404e+00
-6.802037335342379087e-01	-7.639948889541308130e-01	8.751824536507058383e+00	2.881299856678997129e-01	-2.237035893421033261e+00	-4.113993844743390582e+00
