No,TIME,Vel_TX@StRq2,Vel_TY@StRq2,Vel_TZ@StRq2
292,5.8200000e-03,-2.0486460e+02,5.8111858e-01,-1.5270116e+00
293,5.8400000e-03,-2.0543447e+02,5.7860238e-01,-1.5375136e+00
294,5.8600000e-03,-2.0600244e+02,5.7600253e-01,-1.5480258e+00
295,5.8800000e-03,-2.0656851e+02,5.7332512e-01,-1.5585398e+00
296,5.9000000e-03,-2.0713268e+02,5.7057794e-01,-1.5690533e+00
297,5.9200000e-03,-2.0769495e+02,5.6776769e-01,-1.5795658e+00
298,5.9400000e-03,-2.0825531e+02,5.6489981e-01,-1.5900773e+00
299,5.9600000e-03,-2.0881376e+02,5.6197859e-01,-1.6005877e+00
300,5.9800000e-03,-2.0937029e+02,5.5900739e-01,-1.6110971e+00
301,6.0000000e-03,-2.0992489e+02,5.5597093e-01,-1.6215699e+00
302,6.0200000e-03,-2.1047752e+02,5.5315466e-01,-1.6325954e+00
303,6.0400000e-03,-2.1102820e+02,5.5017863e-01,-1.6437191e+00
304,6.0600000e-03,-2.1157694e+02,5.4702640e-01,-1.6548176e+00
305,6.0800000e-03,-2.1212373e+02,5.4373517e-01,-1.6658546e+00
306,6.1000000e-03,-2.1266859e+02,5.4033871e-01,-1.6768177e+00
307,6.1200000e-03,-2.1321150e+02,5.3686152e-01,-1.6877025e+00
308,6.1400000e-03,-2.1375245e+02,5.3332124e-01,-1.6985077e+00
309,6.1600000e-03,-2.1429145e+02,5.2973096e-01,-1.7092330e+00
310,6.1800000e-03,-2.1482847e+02,5.2610078e-01,-1.7198788e+00
311,6.2000000e-03,-2.1536351e+02,5.2242279e-01,-1.7304140e+00
312,6.2200000e-03,-2.1589654e+02,5.1869534e-01,-1.7408159e+00
313,6.2400000e-03,-2.1642752e+02,5.1492577e-01,-1.7510764e+00
314,6.2600000e-03,-2.1695643e+02,5.1112662e-01,-1.7611939e+00
315,6.2800000e-03,-2.1748326e+02,5.0731260e-01,-1.7711697e+00
316,6.3000000e-03,-2.1800804e+02,5.0349760e-01,-1.7810066e+00
317,6.3200000e-03,-2.1853079e+02,4.9941226e-01,-1.7900978e+00
318,6.3400000e-03,-2.1905149e+02,4.9545695e-01,-1.7989002e+00
319,6.3600000e-03,-2.1957012e+02,4.9166059e-01,-1.8075408e+00
