No,TIME,Acc_TX@StRq3,Acc_TY@StRq3,Acc_TZ@StRq3
166,3.3000000e-03,-3.7628984e+04,3.4895799e+02,4.0399288e+02
167,3.3200000e-03,-3.7592268e+04,3.5152579e+02,3.9332959e+02
168,3.3400000e-03,-3.7554313e+04,3.5322621e+02,3.8273244e+02
169,3.3600000e-03,-3.7515361e+04,3.5423687e+02,3.7221592e+02
170,3.3800000e-03,-3.7475574e+04,3.5469929e+02,3.6177891e+02
171,3.4000000e-03,-3.7435063e+04,3.5472405e+02,3.5141432e+02
172,3.4200000e-03,-3.7393895e+04,3.5439573e+02,3.4111524e+02
173,3.4400000e-03,-3.7352114e+04,3.5376638e+02,3.3090734e+02
174,3.4600000e-03,-3.7309731e+04,3.5290219e+02,3.2077063e+02
175,3.4800000e-03,-3.7266756e+04,3.5184615e+02,3.1068869e+02
176,3.5000000e-03,-3.7223197e+04,3.5062562e+02,3.0065178e+02
177,3.5200000e-03,-3.7179062e+04,3.4925965e+02,2.9065427e+02
178,3.5400000e-03,-3.7134355e+04,3.4776258e+02,2.8069275e+02
179,3.5600000e-03,-3.7089079e+04,3.4614561e+02,2.7076508e+02
180,3.5800000e-03,-3.7043236e+04,3.4441763e+02,2.6086993e+02
181,3.6000000e-03,-3.6996825e+04,3.4258565e+02,2.5100646e+02
182,3.6200000e-03,-3.6949847e+04,3.4065527e+02,2.4117419e+02
183,3.6400000e-03,-3.6902299e+04,3.3863094e+02,2.3137293e+02
184,3.6600000e-03,-3.6854182e+04,3.3651628e+02,2.2160263e+02
185,3.6800000e-03,-3.6805494e+04,3.3431428e+02,2.1186342e+02
186,3.7000000e-03,-3.6756233e+04,3.3202693e+02,2.0215688e+02
187,3.7200000e-03,-3.6706399e+04,3.2965189e+02,1.9249667e+02
188,3.7400000e-03,-3.6652789e+04,3.4164727e+02,1.5366935e+02
189,3.7600000e-03,-3.6593987e+04,3.3893617e+02,1.2791196e+02
190,3.7800000e-03,-3.6533411e+04,3.2994750e+02,1.1219235e+02
191,3.8000000e-03,-3.6473440e+04,3.2003167e+02,1.0146108e+02
192,3.8200000e-03,-3.6414964e+04,3.1101272e+02,9.2931727e+01
193,3.8400000e-03,-3.6357978e+04,3.0325417e+02,8.5303528e+01
194,3.8600000e-03,-3.6302112e+04,2.9665567e+02,7.7995160e+01
195,3.8800000e-03,-3.6246924e+04,2.9100599e+02,7.0753332e+01
196,3.9000000e-03,-3.6192025e+04,2.8609316e+02,6.3472798e+01
197,3.9200000e-03,-3.6137118e+04,2.8173392e+02,5.6115934e+01
198,3.9400000e-03,-3.6081990e+04,2.7777863e+02,4.8675919e+01
199,3.9600000e-03,-3.6026495e+04,2.7410910e+02,4.1159007e+01
200,3.9800000e-03,-3.5970539e+04,2.7063411e+02,3.3576079e+01
201,4.0000000e-03,-3.5914062e+04,2.6728451e+02,2.5938744e+01
202,4.0200000e-03,-3.5857028e+04,2.6400862e+02,1.8257706e+01
203,4.0400000e-03,-3.5799414e+04,2.6076828e+02,1.0542218e+01
204,4.0600000e-03,-3.5741208e+04,2.5753556e+02,2.8000347e+00
205,4.0800000e-03,-3.5682405e+04,2.5429027e+02,-4.9624251e+00
206,4.1000000e-03,-3.5623003e+04,2.5101790e+02,-1.2739859e+01
207,4.1200000e-03,-3.5563000e+04,2.4770820e+02,-2.0527862e+01
208,4.1400000e-03,-3.5502401e+04,2.4435401e+02,-2.8322743e+01
209,4.1600000e-03,-3.5441206e+04,2.4095046e+02,-3.6121362e+01
210,4.1800000e-03,-3.5379419e+04,2.3749436e+02,-4.3921018e+01
211,4.2000000e-03,-3.5317043e+04,2.3398377e+02,-5.1719346e+01
212,4.2200000e-03,-3.5254082e+04,2.3041763e+02,-5.9514251e+01
213,4.2400000e-03,-3.5190665e+04,2.7144361e+02,-6.2741865e+01
214,4.2600000e-03,-3.5125488e+04,2.8118395e+02,-6.7283311e+01
215,4.2800000e-03,-3.5059169e+04,2.7469120e+02,-7.3484341e+01
216,4.3000000e-03,-3.4992213e+04,2.6365661e+02,-8.0806774e+01
217,4.3200000e-03,-3.4924889e+04,2.5251970e+02,-8.8730958e+01
218,4.3400000e-03,-3.4857307e+04,2.4242013e+02,-9.6909898e+01
219,4.3600000e-03,-3.4789494e+04,2.3341936e+02,-1.0515126e+02
220,4.3800000e-03,-3.4721422e+04,2.2533182e+02,-1.1336529e+02
221,4.4000000e-03,-3.4653045e+04,2.1796642e+02,-1.2151912e+02
222,4.4200000e-03,-3.4584307e+04,2.1117192e+02,-1.2960659e+02
223,4.4400000e-03,-3.4515158e+04,2.0483204e+02,-1.3763156e+02
224,4.4600000e-03,-3.4445558e+04,1.9885482e+02,-1.4560007e+02
225,4.4800000e-03,-3.4375475e+04,1.9316538e+02,-1.5351739e+02
226,4.5000000e-03,-3.4304889e+04,1.8770209e+02,-1.6138734e+02
227,4.5200000e-03,-3.4233786e+04,1.8241433e+02,-1.6921246e+02
228,4.5400000e-03,-3.4162158e+04,1.7726096e+02,-1.7699446e+02
229,4.5600000e-03,-3.4090001e+04,1.7220891e+02,-1.8473450e+02
230,4.5800000e-03,-3.4017315e+04,1.6723187e+02,-1.9243342e+02
231,4.6000000e-03,-3.3944099e+04,1.6230909e+02,-2.0009194e+02
232,4.6200000e-03,-3.3870355e+04,1.5742430e+02,-2.0771062e+02
233,4.6400000e-03,-3.3796084e+04,1.5256481e+02,-2.1528998e+02
234,4.6600000e-03,-3.3721290e+04,1.4772076e+02,-2.2283044e+02
235,4.6800000e-03,-3.3645974e+04,1.4288453e+02,-2.3033235e+02
236,4.7000000e-03,-3.3570139e+04,1.3805027e+02,-2.3779599e+02
237,4.7200000e-03,-3.3493788e+04,1.3321349e+02,-2.4522154e+02
238,4.7400000e-03,-3.3417763e+04,1.2851573e+02,-2.5260689e+02
239,4.7600000e-03,-3.3341543e+04,1.2390035e+02,-2.6003242e+02
240,4.7800000e-03,-3.3264399e+04,1.1912001e+02,-2.6740466e+02
241,4.8000000e-03,-3.3186066e+04,1.1414222e+02,-2.7468720e+02
242,4.8200000e-03,-3.3106685e+04,1.0905363e+02,-2.8188907e+02
243,4.8400000e-03,-3.3026538e+04,1.0395003e+02,-2.8903370e+02
244,4.8600000e-03,-3.2945875e+04,9.8888286e+01,-2.9614072e+02
245,4.8800000e-03,-3.2864842e+04,9.3884304e+01,-3.0322053e+02
246,4.9000000e-03,-3.2783495e+04,8.8928568e+01,-3.1027565e+02
247,4.9200000e-03,-3.2701827e+04,8.4001937e+01,-3.1730402e+02
248,4.9400000e-03,-3.2619804e+04,7.9085666e+01,-3.2430173e+02
249,4.9600000e-03,-3.2537388e+04,7.4165764e+01,-3.3126474e+02
250,4.9800000e-03,-3.2454543e+04,6.9233723e+01,-3.3818970e+02
251,5.0000000e-03,-3.2371244e+04,6.4285544e+01,-3.4507408e+02
252,5.0200000e-03,-3.2287475e+04,5.9320331e+01,-3.5191610e+02
253,5.0400000e-03,-3.2203227e+04,5.4339021e+01,-3.5871453e+02
254,5.0600000e-03,-3.2118497e+04,4.9343468e+01,-3.6546850e+02
255,5.0800000e-03,-3.2033283e+04,4.4335864e+01,-3.7217734e+02
256,5.1000000e-03,-3.1947586e+04,3.9318415e+01,-3.7884051e+02
257,5.1200000e-03,-3.1861408e+04,3.4293193e+01,-3.8545746e+02
258,5.1400000e-03,-3.1774752e+04,2.9262081e+01,-3.9202766e+02
259,5.1600000e-03,-3.1687618e+04,2.4226773e+01,-3.9855054e+02
260,5.1800000e-03,-3.1600010e+04,1.9188803e+01,-4.0502547e+02
261,5.2000000e-03,-3.1511928e+04,1.4149568e+01,-4.1145182e+02
262,5.2200000e-03,-3.1423376e+04,9.1103668e+00,-4.1782888e+02
263,5.2400000e-03,-3.1334353e+04,4.0724213e+00,-4.2415592e+02
264,5.2600000e-03,-3.1244861e+04,-9.6310163e-01,-4.3043216e+02
265,5.2800000e-03,-3.1154903e+04,-5.9950739e+00,-4.3665681e+02
266,5.3000000e-03,-3.1064478e+04,-1.1022395e+01,-4.4282902e+02
267,5.3200000e-03,-3.0973589e+04,-1.6043970e+01,-4.4894796e+02
268,5.3400000e-03,-3.0882237e+04,-2.1058194e+01,-4.5501670e+02
269,5.3600000e-03,-3.0790435e+04,-2.6068884e+01,-4.6103630e+02
270,5.3800000e-03,-3.0698213e+04,-3.1078261e+01,-4.6700658e+02
271,5.4000000e-03,-3.0605606e+04,-3.6108490e+01,-4.7289979e+02
272,5.4200000e-03,-3.0512684e+04,-4.1141933e+01,-4.7873103e+02
273,5.4400000e-03,-3.0419484e+04,-4.6212646e+01,-4.8443683e+02
274,5.4600000e-03,-3.0326079e+04,-5.1292771e+01,-4.9003160e+02
275,5.4800000e-03,-3.0232497e+04,-5.6343222e+01,-4.9555476e+02
276,5.5000000e-03,-3.0138751e+04,-6.1466435e+01,-5.0082662e+02
277,5.5200000e-03,-3.0044938e+04,-6.6572759e+01,-5.0592874e+02
278,5.5400000e-03,-2.9952780e+04,-8.1026757e+01,-4.9091725e+02
279,5.5600000e-03,-2.9860792e+04,-8.5525019e+01,-4.8430090e+02
280,5.5800000e-03,-2.9768519e+04,-8.5995324e+01,-4.8418389e+02
281,5.6000000e-03,-2.9675758e+04,-8.6036409e+01,-4.8730063e+02
282,5.6200000e-03,-2.9582398e+04,-8.6757285e+01,-4.9184907e+02
283,5.6400000e-03,-2.9488485e+04,-8.8579444e+01,-4.9644903e+02
284,5.6600000e-03,-2.9394253e+04,-9.1145515e+01,-5.0089311e+02
285,5.6800000e-03,-2.9299839e+04,-9.4138254e+01,-5.0522575e+02
286,5.7000000e-03,-2.9205256e+04,-9.7383193e+01,-5.0948238e+02
287,5.7200000e-03,-2.9110456e+04,-1.0079705e+02,-5.1366021e+02
288,5.7400000e-03,-2.9015499e+04,-1.0476287e+02,-5.1693325e+02
289,5.7600000e-03,-2.8920599e+04,-1.0884735e+02,-5.1965862e+02
290,5.7800000e-03,-2.8825811e+04,-1.1283481e+02,-5.2212165e+02
291,5.8000000e-03,-2.8731062e+04,-1.1666315e+02,-5.2446498e+02
292,5.8200000e-03,-2.8636225e+04,-1.2033262e+02,-5.2674937e+02
293,5.8400000e-03,-2.8541195e+04,-1.2393488e+02,-5.2885966e+02
294,5.8600000e-03,-2.8446030e+04,-1.2792368e+02,-5.2990030e+02
295,5.8800000e-03,-2.8350914e+04,-1.3183812e+02,-5.3030475e+02
296,5.9000000e-03,-2.8255879e+04,-1.3546837e+02,-5.3041948e+02
297,5.9200000e-03,-2.8160840e+04,-1.3877999e+02,-5.3041927e+02
298,5.9400000e-03,-2.8065660e+04,-1.4180455e+02,-5.3037955e+02
299,5.9600000e-03,-2.7970210e+04,-1.4459034e+02,-5.3032836e+02
300,5.9800000e-03,-2.7874376e+04,-1.4718458e+02,-5.3027247e+02
301,6.0000000e-03,-2.7778220e+04,-1.5022392e+02,-5.2903247e+02
302,6.0200000e-03,-2.7680307e+04,-1.4389741e+02,-5.4703381e+02
303,6.0400000e-03,-2.7582661e+04,-1.4711290e+02,-5.5630257e+02
304,6.0600000e-03,-2.7485354e+04,-1.5405768e+02,-5.5854849e+02
305,6.0800000e-03,-2.7388248e+04,-1.6100506e+02,-5.5723857e+02
306,6.1000000e-03,-2.7291183e+04,-1.6682830e+02,-5.5433654e+02
307,6.1200000e-03,-2.7194000e+04,-1.7145961e+02,-5.5075608e+02
308,6.1400000e-03,-2.7096546e+04,-1.7510615e+02,-5.4690102e+02
309,6.1600000e-03,-2.6998685e+04,-1.7798759e+02,-5.4294895e+02
310,6.1800000e-03,-2.6900303e+04,-1.8027784e+02,-5.3897756e+02
311,6.2000000e-03,-2.6801429e+04,-1.8263445e+02,-5.3395955e+02
312,6.2200000e-03,-2.6701295e+04,-1.8506816e+02,-5.2783757e+02
313,6.2400000e-03,-2.6599614e+04,-1.8728274e+02,-5.2107943e+02
314,6.2600000e-03,-2.6496789e+04,-1.8900660e+02,-5.1405096e+02
315,6.2800000e-03,-2.6393471e+04,-1.9007628e+02,-5.0697936e+02
316,6.3000000e-03,-2.6290153e+04,-1.9046507e+02,-4.9998719e+02
317,6.3200000e-03,-2.6188575e+04,-1.9960558e+02,-4.7279489e+02
318,6.3400000e-03,-2.6086146e+04,-1.9831801e+02,-4.5409765e+02
319,6.3600000e-03,-2.5982944e+04,-1.9258979e+02,-4.4246387e+02
320,6.3800000e-03,-2.5879053e+04,-1.8635117e+02,-4.3449361e+02
321,6.4000000e-03,-2.5774440e+04,-1.8106628e+02,-4.2781538e+02
322,6.4200000e-03,-2.5669161e+04,-1.7728702e+02,-4.2045889e+02
323,6.4400000e-03,-2.5562508e+04,-2.0755073e+02,-4.1598949e+02
324,6.4600000e-03,-2.5455946e+04,-2.1370421e+02,-4.1023561e+02
325,6.4800000e-03,-2.5349200e+04,-2.0799078e+02,-4.0317607e+02
