No,TIME,Pos_TX@StRq1,Pos_TY@StRq1,Pos_TZ@StRq1
148,2.9400000e-03,1.2355173e+01,-4.2998991e+01,1.1499555e+02
149,2.9600000e-03,1.2353039e+01,-4.2998989e+01,1.1499553e+02
150,2.9800000e-03,1.2350890e+01,-4.2998987e+01,1.1499550e+02
151,3.0000000e-03,1.2348725e+01,-4.2998984e+01,1.1499547e+02
152,3.0200000e-03,1.2346545e+01,-4.2998982e+01,1.1499545e+02
153,3.0400000e-03,1.2344350e+01,-4.2998980e+01,1.1499542e+02
154,3.0600000e-03,1.2342140e+01,-4.2998977e+01,1.1499540e+02
155,3.0800000e-03,1.2339914e+01,-4.2998975e+01,1.1499538e+02
156,3.1000000e-03,1.2337673e+01,-4.2998972e+01,1.1499535e+02
157,3.1200000e-03,1.2335418e+01,-4.2998969e+01,1.1499533e+02
158,3.1400000e-03,1.2333147e+01,-4.2998966e+01,1.1499530e+02
159,3.1600000e-03,1.2330861e+01,-4.2998963e+01,1.1499528e+02
160,3.1800000e-03,1.2328559e+01,-4.2998960e+01,1.1499525e+02
161,3.2000000e-03,1.2326243e+01,-4.2998956e+01,1.1499523e+02
162,3.2200000e-03,1.2323912e+01,-4.2998953e+01,1.1499521e+02
163,3.2400000e-03,1.2321565e+01,-4.2998949e+01,1.1499518e+02
164,3.2600000e-03,1.2319203e+01,-4.2998945e+01,1.1499516e+02
165,3.2800000e-03,1.2316827e+01,-4.2998941e+01,1.1499514e+02
166,3.3000000e-03,1.2314435e+01,-4.2998937e+01,1.1499512e+02
167,3.3200000e-03,1.2312028e+01,-4.2998933e+01,1.1499509e+02
168,3.3400000e-03,1.2309607e+01,-4.2998929e+01,1.1499507e+02
169,3.3600000e-03,1.2307170e+01,-4.2998924e+01,1.1499505e+02
170,3.3800000e-03,1.2304718e+01,-4.2998920e+01,1.1499503e+02
171,3.4000000e-03,1.2302251e+01,-4.2998915e+01,1.1499500e+02
172,3.4200000e-03,1.2299770e+01,-4.2998910e+01,1.1499498e+02
173,3.4400000e-03,1.2297273e+01,-4.2998905e+01,1.1499496e+02
174,3.4600000e-03,1.2294761e+01,-4.2998900e+01,1.1499494e+02
175,3.4800000e-03,1.2292235e+01,-4.2998895e+01,1.1499492e+02
176,3.5000000e-03,1.2289694e+01,-4.2998889e+01,1.1499490e+02
177,3.5200000e-03,1.2287137e+01,-4.2998883e+01,1.1499488e+02
178,3.5400000e-03,1.2284566e+01,-4.2998878e+01,1.1499485e+02
179,3.5600000e-03,1.2281980e+01,-4.2998872e+01,1.1499483e+02
180,3.5800000e-03,1.2279380e+01,-4.2998866e+01,1.1499481e+02
181,3.6000000e-03,1.2276764e+01,-4.2998860e+01,1.1499479e+02
182,3.6200000e-03,1.2274134e+01,-4.2998853e+01,1.1499477e+02
183,3.6400000e-03,1.2271489e+01,-4.2998847e+01,1.1499475e+02
184,3.6600000e-03,1.2268829e+01,-4.2998840e+01,1.1499473e+02
185,3.6800000e-03,1.2266154e+01,-4.2998834e+01,1.1499471e+02
186,3.7000000e-03,1.2263465e+01,-4.2998827e+01,1.1499469e+02
187,3.7200000e-03,1.2260761e+01,-4.2998820e+01,1.1499467e+02
188,3.7400000e-03,1.2258043e+01,-4.2998813e+01,1.1499465e+02
189,3.7600000e-03,1.2255309e+01,-4.2998805e+01,1.1499463e+02
190,3.7800000e-03,1.2252562e+01,-4.2998798e+01,1.1499461e+02
191,3.8000000e-03,1.2249799e+01,-4.2998791e+01,1.1499459e+02
192,3.8200000e-03,1.2247022e+01,-4.2998783e+01,1.1499457e+02
193,3.8400000e-03,1.2244231e+01,-4.2998775e+01,1.1499455e+02
194,3.8600000e-03,1.2241425e+01,-4.2998767e+01,1.1499453e+02
195,3.8800000e-03,1.2238604e+01,-4.2998759e+01,1.1499451e+02
196,3.9000000e-03,1.2235769e+01,-4.2998751e+01,1.1499449e+02
197,3.9200000e-03,1.2232920e+01,-4.2998743e+01,1.1499447e+02
198,3.9400000e-03,1.2230056e+01,-4.2998735e+01,1.1499445e+02
199,3.9600000e-03,1.2227177e+01,-4.2998726e+01,1.1499443e+02
200,3.9800000e-03,1.2224285e+01,-4.2998718e+01,1.1499441e+02
201,4.0000000e-03,1.2221378e+01,-4.2998709e+01,1.1499439e+02
202,4.0200000e-03,1.2218456e+01,-4.2998700e+01,1.1499437e+02
203,4.0400000e-03,1.2215520e+01,-4.2998692e+01,1.1499435e+02
204,4.0600000e-03,1.2212570e+01,-4.2998683e+01,1.1499433e+02
205,4.0800000e-03,1.2209606e+01,-4.2998674e+01,1.1499431e+02
206,4.1000000e-03,1.2206627e+01,-4.2998664e+01,1.1499429e+02
207,4.1200000e-03,1.2203635e+01,-4.2998655e+01,1.1499427e+02
208,4.1400000e-03,1.2200628e+01,-4.2998646e+01,1.1499425e+02
209,4.1600000e-03,1.2197607e+01,-4.2998636e+01,1.1499423e+02
210,4.1800000e-03,1.2194571e+01,-4.2998627e+01,1.1499421e+02
211,4.2000000e-03,1.2191522e+01,-4.2998617e+01,1.1499419e+02
212,4.2200000e-03,1.2188458e+01,-4.2998607e+01,1.1499417e+02
213,4.2400000e-03,1.2185381e+01,-4.2998598e+01,1.1499415e+02
214,4.2600000e-03,1.2182289e+01,-4.2998588e+01,1.1499413e+02
215,4.2800000e-03,1.2179183e+01,-4.2998578e+01,1.1499411e+02
216,4.3000000e-03,1.2176064e+01,-4.2998567e+01,1.1499409e+02
217,4.3200000e-03,1.2172930e+01,-4.2998557e+01,1.1499407e+02
218,4.3400000e-03,1.2169782e+01,-4.2998547e+01,1.1499405e+02
219,4.3600000e-03,1.2166621e+01,-4.2998536e+01,1.1499403e+02
220,4.3800000e-03,1.2163445e+01,-4.2998526e+01,1.1499401e+02
221,4.4000000e-03,1.2160256e+01,-4.2998515e+01,1.1499399e+02
222,4.4200000e-03,1.2157053e+01,-4.2998504e+01,1.1499397e+02
223,4.4400000e-03,1.2153836e+01,-4.2998494e+01,1.1499395e+02
224,4.4600000e-03,1.2150605e+01,-4.2998483e+01,1.1499393e+02
225,4.4800000e-03,1.2147361e+01,-4.2998472e+01,1.1499391e+02
226,4.5000000e-03,1.2144103e+01,-4.2998461e+01,1.1499389e+02
227,4.5200000e-03,1.2140831e+01,-4.2998450e+01,1.1499387e+02
228,4.5400000e-03,1.2137545e+01,-4.2998438e+01,1.1499385e+02
229,4.5600000e-03,1.2134246e+01,-4.2998427e+01,1.1499383e+02
230,4.5800000e-03,1.2130933e+01,-4.2998416e+01,1.1499381e+02
231,4.6000000e-03,1.2127607e+01,-4.2998404e+01,1.1499379e+02
232,4.6200000e-03,1.2124267e+01,-4.2998393e+01,1.1499377e+02
