theta1	omega1	alpha1	theta2	omega2	alpha2
2.681612743281185374e+00	-1.165649411236695965e+00	-8.201350660794425096e+00	-4.591917602282643007e-01	-8.079368386812280534e+00	6.413174278581596610e+00
2.694879263392087498e+00	-1.965722894919307739e+00	-1.677828093496308881e+01	-5.378960069370328778e-01	-6.500973678166049652e+00	-3.758052125186024028e+01
2.792491804065620364e+00	-2.798813495958426767e+00	-2.143437169287904709e+01	1.909590803784627200e+00	-5.670332981076453116e+00	-8.884754672216770288e+00
1.629253128299798625e+00	-2.341272959450306779e+00	-1.400076659980891414e+01	4.532769549297768208e+00	-5.417847805458789523e+00	-2.010296589112001442e+01
2.877753277331451809e+00	-1.139325385791648770e+00	-8.859259749998656730e+00	7.459025681645125028e-01	-5.086626517853461316e+00	-4.333024753552133745e+01
3.353450848462606881e+00	-1.761718090186386032e+00	-1.424755113595843703e+01	-5.691132764091421770e+00	-4.460268131164260907e+00	-6.521628085141639275e+00
3.686641659812538219e+00	-3.055272639658430656e+00	-1.992446399928343581e+01	-3.416696040296627768e+00	-6.877481561978702196e+00	-3.667018365284465631e+01
2.416008469936062664e+00	-1.766078666796058627e+00	-2.378671101694801138e+01	-1.543351378915017724e+00	-6.350441279753161972e+00	-3.262952515388214181e+01
3.078235788943759932e+00	-2.814062666695675397e+00	-1.525199789271171724e+01	-1.127111202307383431e-01	-6.960827561319631762e+00	-2.210353344284028054e+01
3.497291731225590450e+00	-2.658577135745589626e+00	-1.965189573963805003e+01	2.044925165742133899e+00	-7.917272721689394110e+00	-2.882964270432167808e+01
1.324784115081738545e+00	-1.582611545029244171e+00	-1.185417695200752775e+01	5.690676049901796318e+00	-8.311455397921008625e+00	-2.668350775739736491e+01
1.190607131414960662e+00	-3.603296651477339907e+00	-1.289308009229525354e+01	-1.937083886535295285e+00	-6.571515920999494220e+00	-1.092733511652403422e+01
3.352688687862218408e+00	-3.803649823899215132e+00	-1.488802691277749268e+01	4.561331234584217187e-01	-9.713325922896395070e+00	-2.096930808769607069e+01
2.811956321364041944e+00	-2.573036956919338980e+00	-1.459652730139512400e+01	-5.987852564234303898e-01	-7.901645527479811193e+00	-1.752654720964277146e+01
3.499339353281109233e+00	-3.447525937350057745e+00	-7.177938619232201667e+00	-7.081049958540535094e-01	-7.041294973659343093e+00	-1.359469098214784388e+01
2.030517759006665202e+00	-4.099192053418707182e+00	-1.489623230687059241e+01	-4.362651522220774292e-02	-8.568832753032243232e+00	-1.541764992591849825e+01
2.801989938702828642e+00	-3.404397421348439590e+00	-7.054193691753272155e+00	-1.341805261265884841e+00	-7.166917163483166320e+00	-1.686886743660595656e+01
2.342474527348049396e+00	-4.176606617983654957e+00	-1.147142347123406658e+01	3.426836006664325751e+00	-8.137776385877527829e+00	-2.905106906345132955e+01
